image_name,xmin,xmax,ymin,ymax,class_id
room1_dataCollector0001_20210114_im_gap_20210114-13_45_05.png,14,27,26,43,1
room1_dataCollector0001_20210114_im_gap_20210114-13_45_05.png,41,53,36,55,1
room1_dataCollector0001_20210114_im_gap_20210114-14_05_04.png,19,38,41,55,1
room1_dataCollector0001_20210114_im_gap_20210114-14_05_04.png,14,25,31,43,1
room1_dataCollector0001_20210114_im_gap_20210114-14_10_04.png,23,40,5,18,1
room1_dataCollector0001_20210114_im_gap_20210114-14_10_04.png,16,28,32,47,1
room1_dataCollector0001_20210114_im_gap_20210114-14_10_04.png,66,74,48,58,1
room1_dataCollector0001_20210114_im_gap_20210114-14_40_04.png,65,75,48,59,1
room1_dataCollector0001_20210114_im_gap_20210114-14_45_04.png,65,75,49,58,1
room1_dataCollector0001_20210114_im_gap_20210114-14_50_04.png,64,73,50,60,1
room1_dataCollector0001_20210114_im_gap_20210114-15_00_04.png,66,74,48,58,1
room1_dataCollector0001_20210114_im_gap_20210114-15_10_04.png,13,24,31,43,1
room1_dataCollector0001_20210114_im_gap_20210114-15_10_04.png,66,74,48,59,1
room1_dataCollector0001_20210114_im_gap_20210114-15_15_04.png,46,55,5,21,1
room1_dataCollector0001_20210114_im_gap_20210114-15_20_04.png,13,25,32,43,1
room1_dataCollector0001_20210114_im_gap_20210114-15_25_04.png,13,24,33,43,1
room1_dataCollector0001_20210114_im_gap_20210114-15_30_04.png,13,25,30,44,1
room1_dataCollector0001_20210114_im_gap_20210114-15_30_04.png,59,63,2,6,1
room1_dataCollector0001_20210114_im_gap_20210114-15_45_04.png,13,27,30,42,1
room1_dataCollector0001_20210114_im_gap_20210114-15_45_04.png,59,63,1,4,1
room1_dataCollector0001_20210114_im_gap_20210114-15_50_04.png,14,29,33,48,1
room1_dataCollector0001_20210114_im_gap_20210114-15_50_04.png,59,64,0,5,1
room1_dataCollector0001_20210114_im_gap_20210114-16_00_04.png,14,25,30,42,1
room1_dataCollector0001_20210114_im_gap_20210114-16_00_04.png,67,75,49,59,1
room1_dataCollector0001_20210114_im_gap_20210114-16_00_04.png,57,63,1,4,1
room1_dataCollector0001_20210114_im_gap_20210114-16_05_04.png,57,64,1,5,1
room1_dataCollector0001_20210114_im_gap_20210114-16_05_04.png,13,24,31,42,1
room1_dataCollector0001_20210114_im_gap_20210114-16_05_04.png,67,74,48,58,1
